SPEC Template — NEURONIUM AI (Commitment-aware AI Super Agent)

1. Feature Context
Section	Fill In
Feature	NEURONIUM AI — Commitment-aware AI Super Agent with Action Graph (DAG) planning, hybrid memory (GraphRAG + agentic retrieval), verification critics, typed contracts, and audit/replay trace
Description (Goal / Scope)	Build an open-source Python framework that converts a high-level user objective into a Hierarchical Task Network (HTN), compiles it into a deterministic Directed Acyclic Graph (DAG) of typed nodes (ModelNode/CodeNode/McpToolNode), executes it with pause/stop/revise/replan control, persists every step into content-addressable storage and an index (SQLite/Postgres+pgvector), records a canonical trace, validates outputs through critic verifiers, and supports full offline replay. Scope covers: public Python API (AgentRunner), CLI (neuronium-agent), TOML configuration, FS CAS / SQLite local mode, Postgres + Redis + RQ production mode, MCP tool integration, GraphRAG-lite memory, Docker code sandbox.
Client	Dataism Lab (open-source community); target adopters — AI engineering teams in mid/large enterprises, R&D labs, regulated industries (fintech, medtech, govtech) and AI agent platform builders that need auditable and reproducible agent execution
Problem	Modern LLM-agent frameworks (LangChain, AutoGen, CrewAI) are non-deterministic, hard to audit, opaque under failure, lack reproducible replay, mix planning with execution, and have no first-class commitment/control protocol. This blocks enterprise adoption where SLA, compliance, root-cause analysis and reproducibility are mandatory.
Solution	A layered framework that (a) separates Plan → Execute → Verify → Adapt, (b) compiles plans into typed DAGs with canonical JSON for byte-identical replay, (c) records every transition into an append-only trace with content-addressed artifacts, (d) exposes a declarative control protocol (continue/pause/revise/replan/stop/escalate) over a state machine, (e) provides critic-based verification before commit, (f) allows scaling local single-process runs to distributed Redis+RQ workers without code change.
Metrics	1) Replay determinism rate ≥ 99% on identical seed/config (byte-equality of artifact_id). 2) Mean time to resume from PAUSED checkpoint ≤ 2s (local) / 10s (distributed). 3) Trace coverage = 100% of state transitions and node executions persisted. 4) Critic precision/recall ≥ 0.9 on benchmark verification suite. 5) Time-to-onboard new node type by 3rd-party developer ≤ 1 day. 6) p95 end-to-end latency for ≤10-node DAG ≤ 30s with gpt-4.1-mini. 7) Zero data loss on graceful pause/stop (all checkpoints flushed).

2. User Stories and Use Cases

User Story 1
Role	AI Engineer / Agent Operator
User Story ID	US-1
User Story	As an AI Engineer, I want to launch a deterministic AI-agent run from an objective and interactively control it (pause / resume / stop / revise), so that I can ship reliable agents without losing work on interruptions and without re-running expensive LLM calls.
UX / User Flow	1) Engineer writes neuronium.toml and exports NEURONIUM_OPENAI_API_KEY. 2) Runs `neuronium-agent run -o "<objective>" --interactive`. 3) CLI prints a human-readable timeline (plan → nodes → critics). 4) Engineer presses keys to send pause/stop or types a revise payload. 5) On pause, a checkpoint is written; on resume, run continues from latest phase boundary. 6) Engineer inspects rendered HTML artifact and the run summary.

Use Case (+ Edges) BDD 1

Use Case ID	UC-1.1
Given	A valid neuronium.toml exists, NEURONIUM_OPENAI_API_KEY is set, blob backend = fs_cas and index backend = sqlite are reachable, no run with the same execution_id is active.
When	The user invokes `neuronium-agent run -o "<objective>"` (or calls AgentRunner.start(RunRequest(objective=...))) and the orchestrator transitions PENDING → RUNNING.
Then	A RunHandle (trace_id, execution_id, created_at) is returned, the HTN planner produces a DAG, nodes execute in topological order, every transition is appended to the trace, artifacts are written into FS CAS by canonical artifact_id, and the run terminates in COMPLETED with progress=1.0; if any node fails non-retryably the run terminates in FAILED with FailureClass recorded.
Input	RunRequest{ objective: str, constraints: list[str]=[], mode: "batch"|"supervised"|"interactive"|None, metadata: dict={} }; AppConfig loaded from neuronium.toml; environment variables.
Output	RunHandle, RunStatus(state=COMPLETED|FAILED, progress, current_node_ref, message), trace events in index, rendered HTML artifact path, content-addressed artifacts in CAS.
State	Run state machine: PENDING → RUNNING → (PAUSED ⇄ RUNNING)* → COMPLETED|FAILED|CANCELLED. Each node: PENDING → READY → RUNNING → COMPLETED|FAILED|TIMEOUT|RETRYING|CANCELLED.
Functional Requirements
Req ID	Requirement
FR-1	The system SHALL accept a RunRequest and return a RunHandle synchronously containing trace_id and execution_id generated as canonical UUIDv7-style identifiers.
FR-2	The HTN planner SHALL convert the objective + constraints into an Action Graph (DAG) of typed nodes (ModelNode, CodeNode, McpToolNode) with declared inputs/outputs and no cycles, validated before execution.
FR-3	The deterministic executor SHALL execute nodes in valid topological order, respect llm_temperature=0.0 and default_random_seed from determinism config, and persist each transition (NODE_STARTED, NODE_COMPLETED, NODE_FAILED) into the trace store.
Non-Functional Requirements
Req ID	Requirement
NFR-1	Determinism: identical (config, seed, inputs) MUST yield identical canonical artifact_id values across runs (byte-equality), targeting ≥ 99% on the test corpus.
NFR-2	Performance: orchestrator overhead per node transition SHALL be ≤ 50 ms p95 on local SQLite/FS CAS (excluding LLM and tool latency).
NFR-3	Reliability: trace and CAS writes SHALL be crash-safe (fsync on commit), so a SIGKILL never produces a partially indexed artifact or torn trace event.

Use Case (+ Edges) BDD 2
Field	Fill In
Use Case ID	UC-1.2
Given	A run is in state RUNNING with trace_id T and at least one node has reached a phase boundary checkpoint.
When	The operator sends ControlCommand(type ∈ {pause, stop, revise, replan, continue, escalate}, payload) via AgentRunner.control(handle, cmd) or interactive CLI keystroke; in the pause/stop case an InterruptRequest(mode="graceful"|"immediate") may be supplied.
Then	The orchestrator performs declarative state-transition → checkpoint → trace decision WITHOUT executing further DAG nodes; on pause, latest resume_context is persisted and exposed via get_latest_pause_context; on continue/resume_run, execution restarts from the latest phase-boundary checkpoint with no duplicate side-effects; on revise/replan, the planner regenerates the affected sub-DAG and appends a CONTROL_APPLIED event.
